Área Total,Dormitorios,Baños,Estacionamiento,Zona_num,Municipio_num,Precio Venta
69.0,2,2,0,3,0,768750.0
75.0,2,2,1,4,0,757900.0
120.0,2,2,2,2,0,669280.0
35.0,1,0,0,11,1,320000.0
194.0,3,3,1,3,0,1653000.0
77.0,3,2,0,8,1,517000.0
174.0,4,3,1,11,1,899900.0
87.0,3,2,0,7,1,620514.0
68.0,2,3,1,2,0,476160.0
140.0,5,2,2,2,0,1025000.0
371.0,5,4,2,23,3,1073000.0
300.0,4,4,2,2,0,2268600.0
2800.0,4,4,6,5,0,10904000.0
158.0,4,2,2,2,0,1496250.0
300.0,3,3,0,27,4,621600.0
300.0,3,2,2,2,0,2085000.0
140.0,3,0,0,99,99,450000.0
1105.0,5,4,3,32,5,1554000.0
150.0,4,4,0,99,99,318750.0
500.0,5,5,1,26,4,680022.0
655.0,5,5,5,5,0,3330000.0
380.0,0,5,3,27,4,1406000.0
400.0,4,3,4,2,0,5400000.0
160.0,5,4,0,7,1,864800.0
200.0,4,4,2,2,0,1196800.0
250.0,0,0,2,4,0,3237500.0
1280.0,4,4,6,5,0,5542000.0
70.0,3,2,0,13,2,403227.0
148.0,4,3,0,18,3,312993.0
176.0,6,2,2,99,99,584660.0
142.0,9,9,1,99,99,600000.0
154.0,5,2,1,99,99,830000.0
145.0,3,2,0,99,99,489940.0
312.0,4,4,1,5,0,1237500.0
352.0,4,4,1,18,3,937500.0
207.0,4,3,2,3,0,1404150.0
1000.0,3,5,4,99,99,1646250.0
640.0,6,3,4,4,0,6375000.0
283.0,4,3,3,2,0,1950000.0
750.0,3,2,3,4,0,8184000.0
426.0,0,4,3,3,0,3196000.0
675.0,3,3,2,99,99,715000.0
603.0,3,3,4,4,0,9880000.0
300.0,5,3,3,2,0,3233600.0
120.0,6,3,0,99,99,1687500.0
350.0,4,4,3,23,3,4180000.0
5008.0,4,5,10,99,99,2444000.0
167.0,5,5,2,99,99,836000.0
610.0,5,3,4,22,3,3344000.0
200.0,4,3,1,3,0,1987500.0
120.0,8,6,1,17,2,937500.0
94.0,4,2,0,18,3,242450.0
78.0,3,3,1,18,3,596600.0
303.0,3,2,2,1,0,2161535.0
850.0,9,9,4,0,0,10982000.0
201.0,4,4,1,2,0,1218750.0
476.0,5,5,2,3,0,2349900.0
1000.0,3,2,4,5,0,2960403.0
80.0,3,2,1,3,0,641000.0
160.0,5,4,2,5,0,1256250.0
156.0,6,3,2,13,2,1312500.0
520.0,6,7,2,27,4,1376320.0
274.0,10,6,2,23,3,975000.0
1260.0,3,4,0,99,99,1440000.0
140.0,8,8,0,99,99,67407820.0
160.0,4,4,5,99,99,903817.0
170.0,6,5,3,7,1,1355040.0
350.0,5,4,5,99,99,1646250.0
690.0,5,3,3,4,0,6403000.0
48.0,5,3,0,99,99,461250.0
160.0,11,4,1,20,3,1093300.0
337.0,0,0,0,99,99,2325000.0
650.0,5,4,4,3,0,4070000.0
300.0,0,3,2,5,0,1838000.0
251.0,5,5,3,99,99,1235000.0
515.0,9,4,5,2,0,2925000.0
356.0,5,3,2,2,0,2613200.0
340.0,10,5,1,99,99,981533.0
300.0,8,5,2,16,2,454960.0
255.0,5,7,2,2,0,1447600.0
120.0,4,0,1,2,0,1102000.0
383.0,6,4,3,2,0,2400000.0
315.0,0,3,2,2,0,1832400.0
390.0,6,5,1,99,99,1035000.0
312.0,4,3,2,1,0,2175000.0
92.0,3,2,0,27,4,668800.0
200.0,5,4,2,2,0,1466400.0
207.0,5,3,2,9,1,1330000.0
70.0,4,2,0,99,99,280000.0
7000.0,5,3,5,99,99,2117500.0
410.0,4,3,2,5,0,2886000.0
500.0,8,6,1,7,1,1349000.0
270.0,5,4,2,99,99,1710000.0
230.0,3,3,2,2,0,1488750.0
659.0,5,4,4,5,0,4158000.0
422.0,7,5,4,5,0,1500000.0
420.0,4,3,3,4,0,5320000.0
313.0,8,4,2,4,0,2090000.0
680.0,0,0,0,22,3,1862000.0
350.0,6,6,6,99,99,2563000.0
350.0,10,4,14,4,0,3750000.0
396.0,5,6,2,2,0,2960000.0
300.0,5,4,2,8,1,2678000.0
160.0,6,3,10,22,3,1092890.0
375.0,4,3,4,3,0,3040000.0
200.0,6,6,2,99,99,1330000.0
181.0,5,2,1,7,1,1068750.0
280.0,4,3,0,4,0,2196970.0
170.0,2,3,0,99,99,993750.0
140.0,4,2,2,9,1,1125000.0
640.0,5,3,4,4,0,5946600.0
305.0,4,5,1,16,2,685250.0
600.0,0,0,0,99,99,3375000.0
126.0,3,0,0,6,1,1070100.0
13555.0,4,6,6,99,99,1488750.0
73.0,6,2,0,16,2,342000.0
290.0,4,3,2,2,0,1875000.0
316.0,4,3,1,2,0,1342500.0
476.0,4,3,2,5,0,1961000.0
132.0,7,4,1,2,0,637000.0
1015.0,4,6,2,5,0,4192399.0
300.0,5,4,2,99,99,2186350.0
90.0,0,0,0,99,99,325600.0
202.0,0,0,0,20,3,1687500.0
200.0,4,3,2,99,99,1078800.0
432.0,4,3,3,4,0,6016000.0
360.0,5,3,4,2,0,2835000.0
600.0,4,4,2,2,0,3140000.0
1024.0,5,5,3,22,3,3100000.0
1251.0,7,5,6,2,0,6375000.0
400.0,3,4,5,99,99,1312500.0
250.0,4,3,1,3,0,1591800.0
534.0,3,4,2,22,3,2298000.0
2188.0,4,3,0,32,5,2693304.0
250.0,4,0,1,3,0,1566600.0
1140.0,3,4,4,5,0,4612500.0
600.0,3,2,2,2,0,5154400.0
330.0,6,3,2,99,99,600000.0
375.0,3,3,5,99,99,844000.0
206.0,8,2,0,18,3,618750.0
110.0,5,2,0,15,2,499000.0
